County,City,ZIP_Code
Lake,Gary,46408
Lake,Gary,46409
Lake,Merrillville,46410
Lake,Merrillville,46411
Marshall,Argos,46501
Kosciusko,Atwood,46502
Marshall,Bourbon,46504
Marshall,Bremen,46506
Elkhart,Bristol,46507
Kosciusko,Burket,46508
Kosciusko,Claypool,46510
Marshall,Culver,46511
Starke,Donaldson,46513
Elkhart,Elkhart,46514
Elkhart,Elkhart,46515
Elkhart,Elkhart,46516
Elkhart,Elkhart,46517
Kosciusko,Etna Green,46524
Elkhart,Goshen,46526
Elkhart,Goshen,46527
Elkhart,Goshen,46528
St Joseph,Granger,46530
Starke,Grovertown,46531
Starke,Hamlet,46532
Starke,Knox,46534
St Joseph,Lakeville,46536
Marshall,Lapaz,46537
Kosciusko,Leesburg,46538
Kosciusko,Mentone,46539
Elkhart,Middlebury,46540
Kosciusko,Milford,46542
Elkhart,Millersburg,46543
St Joseph,Mishawaka,46544
St Joseph,Mishawaka,46545
St. Joseph,Mishawaka,46546
Elkhart,Nappanee,46550
St Joseph,New Carlisle,46552
Elkhart,New Paris,46553
St Joseph,North Liberty,46554
Kosciusko,North Webster,46555
St. Joseph,Notre Dame,46556
St Joseph,Osceola,46561
Kosciusko,Pierceton,46562
Marshall,Plymouth,46563
Lagrange,Shipshewana,46565
Kosciusko,Syracuse,46567
Marshall,Tippecanoe,46570
Lagrange,Topeka,46571
Marshall,Tyner,46572
Elkhart,Wakarusa,46573
St Joseph,Walkerton,46574
Kosciusko,Warsaw,46580
Kosciusko,Warsaw,46581
Kosciusko,Warsaw,46582
Kosciusko,Winona Lake,46590
St. Joseph,Wyatt,46595
St Joseph,South Bend,46601
St. Joseph,South Bend,46604
St Joseph,South Bend,46613
St Joseph,South Bend,46614
St Joseph,South Bend,46615
St Joseph,South Bend,46616
St Joseph,South Bend,46617
St Joseph,South Bend,46619
St. Joseph,South Bend,46620
St. Joseph,South Bend,46624
St. Joseph,South Bend,46626
St Joseph,South Bend,46628
St. Joseph,South Bend,46634
St Joseph,South Bend,46635
St Joseph,South Bend,46637
St. Joseph,South Bend,46660
St. Joseph,South Bend,46680
St. Joseph,South Bend,46699
Noble,Albion,46701
Huntington,Andrews,46702
Steuben,Angola,46703
Allen,Arcola,46704
De Kalb,Ashley,46705
De Kalb,Auburn,46706
Noble,Avilla,46710
Adams,Berne,46711
Huntington,Bippus,46713
Wells,Bluffton,46714
De Kalb,Butler,46721
Whitley,Churubusco,46723
Whitley,Columbia City,46725
De Kalb,Corunna,46730
Wells,Craigville,46731
Noble,Cromwell,46732
Adams,Decatur,46733
Steuben,Fremont,46737
De Kalb,Garrett,46738
Adams,Geneva,46740
Allen,Grabill,46741
Steuben,Hamilton,46742
Allen,Harlan,46743
Allen,Hoagland,46745
Lagrange,Howe,46746
Steuben,Hudson,46747
Allen,Huntertown,46748
Huntington,Huntington,46750
Noble,Kendallville,46755
Wells,Keystone,46759
Noble,Kimmell,46760
Lagrange,Lagrange,46761
Noble,Laotto,46763
Whitley,Larwill,46764
Allen,Leo,46765
Wells,Liberty Center,46766
Noble,Ligonier,46767
Adams,Linn Grove,46769
Wells,Markle,46770
Lagrange,Mongo,46771
Adams,Monroe,46772
Allen,Monroeville,46773
Allen,New Haven,46774
Steuben,Orland,46776
Wells,Ossian,46777
Wells,Petroleum,46778
Steuben,Pleasant Lake,46779
Adams,Pleasant Mills,46780
Wells,Poneto,46781
Adams,Preble,46782
Huntington,Roanoke,46783
Noble,Rome City,46784
De Kalb,Saint Joe,46785
Lagrange,South Milford,46786
Whitley,South Whitley,46787
De Kalb,Spencerville,46788
Lagrange,Stroh,46789
Wells,Uniondale,46791
Huntington,Warren,46792
De Kalb,Waterloo,46793
Noble,Wawaka,46794
Lagrange,Wolcottville,46795
Noble,Wolflake,46796
Allen,Woodburn,46797
Allen,Yoder,46798
Wells,Zanesville,46799
Allen,Fort Wayne,46801
Allen,Fort Wayne,46802
Allen,Fort Wayne,46803
Allen,Fort Wayne,46804
Allen,Fort Wayne,46805
Allen,Fort Wayne,46806
Allen,Fort Wayne,46807
Allen,Fort Wayne,46808
Allen,Fort Wayne,46809
Allen,Fort Wayne,46814
Allen,Fort Wayne,46815
Allen,Fort Wayne,46816
Allen,Fort Wayne,46818
Allen,Fort Wayne,46819
Allen,Fort Wayne,46825
Allen,Fort Wayne,46835
Allen,Fort Wayne,46845
Allen,Fort Wayne,46850
Allen,Fort Wayne,46851
Allen,Fort Wayne,46852
Allen,Fort Wayne,46853
Allen,Fort Wayne,46854
Allen,Fort Wayne,46855
Allen,Fort Wayne,46856
Allen,Fort Wayne,46857
Allen,Fort Wayne,46858
Allen,Fort Wayne,46859
Allen,Fort Wayne,46860
Allen,Fort Wayne,46861
Allen,Fort Wayne,46862
Allen,Fort Wayne,46863
Allen,Fort Wayne,46864
Allen,Fort Wayne,46865
Allen,Fort Wayne,46866
Allen,Fort Wayne,46867
Allen,Fort Wayne,46868
Allen,Fort Wayne,46869
Allen,Fort Wayne,46885
Allen,Fort Wayne,46895
Allen,Fort Wayne,46896
Allen,Fort Wayne,46897
Allen,Fort Wayne,46898
Allen,Fort Wayne,46899
Howard,Kokomo,46901
Howard,Kokomo,46902
Howard,Kokomo,46903
Howard,Kokomo,46904
Fulton,Akron,46910
Miami,Amboy,46911
Fulton,Athens,46912
