County,City/Town,ZIP Code,Type
Navajo County,Holbrook,86025,City
Navajo County,Pinetop-Lakeside,85929,Town
Navajo County,Show Low,85901,City
Navajo County,Snowflake,85937,Town
Navajo County,Taylor,85939,Town
Navajo County,Winslow,86047,City
Pima County,Marana,85653,Town
Pima County,Marana,85658,Town
Pima County,Oro Valley,85704,Town
Pima County,Oro Valley,85737,Town
Pima County,Oro Valley,85739,Town
Pima County,Oro Valley,85755,Town
Pima County,Sahuarita,85614,Town
Pima County,Sahuarita,85629,Town
Pima County,South Tucson,85713,City
Pima County,Tucson,85701,City
Pima County,Tucson,85702,City
Pima County,Tucson,Tucson,85703,City
Pima County,Tucson,85704,City
Pima County,Tucson,85705,City
Pima County,Tucson,85706,City
Pima County,Tucson,85707,City
Pima County,Tucson,85708,City
Pima County,Tucson,85709,City
Pima County,Tucson,85710,City
Pima County,Tucson,85711,City
Pima County,Tucson,85712,City
Pima County,Tucson,85713,City
Pima County,Tucson,85714,City
Pima County,Tucson,85715,City
Pima County,Tucson,85716,City
Pima County,Tucson,85717,City
Pima County,Tucson,85718,City
Pima County,Tucson,85719,City
Pima County,Tucson,85720,City
Pima County,Tucson,85721,City
Pima County,Tucson,85723,City
Pima County,Tucson,85724,City
Pima County,Tucson,85725,City
Pima County,Tucson,85726,City
Pima County,Tucson,85730,City
Pima County,Tucson,85731,City
Pima County,Tucson,85732,City
Pima County,Tucson,85733,City
Pima County,Tucson,85734,City
Pima County,Tucson,85735,City
Pima County,Tucson,85736,City
Pima County,Tucson,85737,City
Pima County,Tucson,85738,City
Pima County,Tucson,85739,City
Pima County,Tucson,85740,City
Pima County,Tucson,85741,City
Pima County,Tucson,85742,City
Pima County,Tucson,85743,City
Pima County,Tucson,85744,City
Pima County,Tucson,85745,City
Pima County,Tucson,85746,City
Pima County,Tucson,85747,City
Pima County,Tucson,85748,City
Pima County,Tucson,85749,City
Pima County,Tucson,85750,City
Pima County,Tucson,85751,City
Pima County,Tucson,85752,City
Pima County,Tucson,85754,City
Pima County,Tucson,85755,City
Pima County,Tucson,85756,City
Pima County,Tucson,85757,City
Pinal County,Apache Junction,85117,City
Pinal County,Casa Grande,85122,City
Pinal County,Casa Grande,85130,City
Pinal County,Casa Grande,85193,City
Pinal County,Coolidge,85128,City
Pinal County,Eloy,85131,City
Pinal County,Florence,85132,Town
Pinal County,Kearny,85137,Town
Pinal County,Mammoth,85618,Town
Pinal County,Maricopa,85138,City
Pinal County,Maricopa,85139,City
Pinal County,Superior,85173,Town
Santa Cruz County,Nogales,85621,City
Santa Cruz County,Patagonia,85624,Town
Yavapai County,Camp Verde,86322,Town
Yavapai County,Chino Valley,86323,Town
Yavapai County,Clarkdale,86324,Town
Yavapai County,Cottonwood,86326,City
Yavapai County,Dewey-Humboldt,86327,Town
Yavapai County,Jerome,86331,Town
Yavapai County,Prescott,86301,City
Yavapai County,Prescott,86303,City
Yavapai County,Prescott,86305,City
Yavapai County,Prescott Valley,86314,Town
Yavapai County,Sedona,86339,City
Yavapai County,Sedona,86341,City
Yuma County,San Luis,85349,City
Yuma County,Somerton,85350,City
Yuma County,Wellton,85356,Town
Yuma County,Yuma,85364,City
Yuma County,Yuma,85365,City
Yuma County,Yuma,85366,City
Yuma County,Yuma,85367,City
